Composition,T,kappa,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm
Ce0.25Sc0.75PO4,0,0,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,100,0.233975438,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,200,0.116987719,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,300,0.077991813,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,400,0.058493859,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,500,0.046795088,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,600,0.038995906,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,700,0.033425063,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,800,0.02924693,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
Ce0.25Sc0.75PO4,900,0.025997271,8,58,50,12.875,6.5,8,11,87,76,73.83333333,20.61111111,87,15.9994,140.116,124.1166,27.286216,15.049088,15.9994,54.8,1814,1759.2,360.7916667,422.4861111,54.8,3,16,13,13.66666667,3.555555556,16,2,6,4,2.583333333,0.777777778,2,66,204,138,91.58333333,34.11111111,66,1.12,3.44,2.32,2.875,0.753333333,3.44,2,2,0,2,0,2,0,4,4,3.166666667,1.111111111,4,0,1,1,0.166666667,0.277777778,0,0,1,1,0.041666667,0.079861111,0,3,6,3,5.375,0.833333333,6,0,0,0,0,0,0,0,3,3,1.833333333,0.611111111,2,0,9,9,1.5,2.5,0,0,13,13,0.541666667,1.038194444,0,2,22,20,3.875,2.791666667,2,9.105,37.24,28.135,14.16274802,6.743664021,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,6.35E-06,6.35E-06,7.94E-07,1.39E-06,0,2,194,192,40.66666667,51.11111111,12,4,0.699702318,0.671621076,0.666827823,0.666673256,0.666666734
